ID,Title,Release,Rating (IMDb),Mode,Story Time,Publisher
1,Hogwarts Legacy,10-Feb-23,9.6,Single Player,35 Hours,Warner Bros Games
2,A Plague Tale: Innocence,14-May-19,8.3,Single Player,15 Hours,Focus Home Interactive
3,Red Dead Redemption II,26-Oct-18,9.7,"Single-player,Multiplayer",50 Hours,Rockstar Games
4,Detroit: Become Human,25-May-18,9.2,Single Player,12 Hours,Sony Interactive Entertainment 
5,Resident Evil 4,24-Mar-23,,Single Player,,Capcom
6,The Last of Us: Part II,19-Jun-20,8.6,Single Player,24 Hours,Sony Interactive Entertainment 
7,Shadow of the Tomb Raider,14-Sep-18,8,Single Player,13 Hours,Square Enix
8,Spider-Man,7-Sep-18,9.2,Single Player,17 Hours,Sony Interactive Entertainment 
9,Resident Evil 2,25-Jan-19,9,Single Player,8 Hours,Capcom
10,A Way Out,23-Mar-18,8,Multiplayer,6 Hours,Electronic Arts
11,Uncharted 4: A Thief's End,10-May-16,9.5,"Single-player,Multiplayer",15 Hours,Sony Interactive Entertainment 
12,Life Is Strange,30-Jan-15,9.3,Single Player,14 Hours,Square Enix
13,It Takes Two,26-Mar-21,,Multiplayer,12 Hours,Electronic Arts
14,Grand Theft Auto V,17-Sep-13,9.5,"Single-player,Multiplayer",50 Hours,Rockstar Games
15,Assassin's Creed Valhalla,10-Nov-20,8,Single Player,60 Hours,Ubisoft
16,The Order: 1886,20-Feb-15,7.3,Single Player,7 Hours,Sony Interactive Entertainment 
17,Until Dawn,28-Aug-15,8.7,Single Player,8 Hours,Sony Interactive Entertainment 
18,Biped,26-Mar-20,6.8,Multiplayer,2 Hours,META
19,The Last of Us: Part I,1-Aug-14,9.8,Single Player,14 Hours,Sony Interactive Entertainment 
20,Heavy Rain,23-Feb-10,8.8,Single Player,10 Hours,Sony Interactive Entertainment 
21,Overcooked ,2-Aug-16,7.4,"Single-player,Multiplayer",6 Hours,Team17
22,Zero: Nuregarasu no miko,30-Oct-15,7.4,Single Player,15 Hours,Nintendo
23,Watch Dogs 2,15-Nov-16,7.6,"Single-player,Multiplayer",19 Hours,Ubisoft
24,Resident Evil 2,25-Jan-19,9,Single Player,8 Hours,Capcom
25,Murdered: Soul Suspect,6-Jun-14,7,Single Player,7 Hours,Square Enix
26,Hitman 2,13-Nov-18,8.2,Single Player,10 Hours,Warner Bros Games
27,inFamous: Second Son,21-Mar-14,8,Single Player,10 Hours,Sony Computer Entertainment
28,Ghost of Tsushima,17-Jul-20,9.2,Single Player,25 Hours,Sony Interactive Entertainment 
29,The Quarry,10-Jun-22,81,Single Player,10 Hours,2K
30,Unravel Two,9-Jun-18,7.3,Multiplayer,5 Hours,Electronic Arts
31,Twin Mirror,1-Dec-20,6.1,Single Player,7 Hours,Bandai Namco Entertainment
32,Lost Judgment,24-Sep-21,8.6,Single Player,23 Hours,Sega
33,Bum Simulator,26-Aug-21,6.8,Single Player,7 Hours,Ragged Games
34,The Dark Pictures: Little Hope,30-Oct-20,7.1,"Single-player,Multiplayer",3 Hours,Bandai Namco Entertainment
35,Police Simulator: Patrol Officers,10-Nov-22,8.4,"Single-player,Multiplayer",36 Hours,Astragon Entertainment
36,Life Is Strange: True Colors,10-Sep-21,7.9,Single Player,12 Hours,Square Enix
37,Silent Hill 2,,,Single Player,8 Hours,Konami
38,Cyberpunk 2077,10-Dec-20,8.1,Single Player,24 Hours,CD Projekt
39,The Dark Pictures: House of Ashes,22-Oct-21,7.7,"Single-player,Multiplayer",6 Hours,Bandai Namco Entertainment
40,Resident Evil 3,3-Apr-20,7.8,Single Player,6 Hours,Capcom
41,Sherlock Holmes: The Devil's Daughter,10-Jun-16,7.1,Single Player,12 Hours,Frogwares Bigben Interactive
42,Sleeping Dogs,14-Aug-12,8.3,Single Player,14 Hours,Square Enix
43,Mafia: Definitive Edition,"	September 25, 2020",8.3,Single Player,10 Hours,2K
44,Star Wars Jedi: Fallen Order,15-Nov-19,8.5,Single Player,17 Hours,Electronic Arts
45,Little Nightmares,28-Apr-17,8.2,Single Player,5 Hours,Bandai Namco Entertainment
46,The Dark Pictures: Man of Medan,30-Aug-19,6.4,"Single-player,Multiplayer",4 Hours,Bandai Namco Entertainment
47,Concrete Genie,8-Oct-19,7.4,Single Player,6 Hours,Sony Interactive Entertainment 
48,Knockout City,21-May-21,6.4,Multiplayer,,Electronic Arts
49,L.A. Noire,"May 17,2011",8.7,Single Player,25 Hours,Rockstar Games
50,The Evil Within,14-Oct-14,7.8,Single Player,15 Hours,Bethesda Softworks
